UF;Cidade;vendas;produtos;itens;venda_total;ticket_medio;mes;cancelada;periodo;per_população_rural;predominancia;cidade_red;class_venda;populacao
MG;Ipanema;1815,0;42742,0;80783,0;415618,22;228,99;202103;False;2021-03-01;0,21849201981287836;Rural;IPANEMA;muito alta;20133,0
MG;Pocrane;213,0;5044,0;13679,0;64652,7;303,53;202103;False;2021-03-01;0,3991764967727576;Rural;POCRANE;muito baixa;8288,0
MG;Taparuba;107,0;3066,0;6486,0;34213,82;319,76;202103;False;2021-03-01;0,5521198597386038;Urbana;TAPARUBA;muito baixa;3093,0
MG;Conceição de Ipanema;124,0;4172,0;8636,0;47041,33;379,37;202103;False;2021-03-01;0,658213644524237;Urbana;IPANEMA;muito baixa;4581,0
MG;Santana do Manhuaçu;255,0;6862,0;15697,0;82612,21;323,97;202103;False;2021-03-01;0,5173619202982987;Urbana;MANHUAÇU;muito baixa;8660,0
MG;Simonésia;300,0;7882,0;15868,0;81240,91;270,8;202103;False;2021-03-01;0,6121980544321783;Urbana;SIMONÉSIA;muito baixa;19834,0
MG;Manhuaçu;355,0;9235,0;19237,0;95968,73;270,33;202103;False;2021-03-01;0,1851735491492196;Rural;MANHUAÇU;baixa;92074,0
MG;Manhuaçu;8,0;237,0;581,0;2643,61;330,45;202103;False;2021-03-01;0,1851735491492196;Rural;MANHUAÇU;muito baixa;92074,0
MG;São José do Mantimento;110,0;3730,0;8204,0;46171,39;419,74;202103;False;2021-03-01;0,4409722222222222;Rural;MANTIMENTO;muito baixa;2821,0
MG;Reduto;13,0;172,0;880,0;3126,42;240,49;202103;False;2021-03-01;0,4446643324706957;Rural;REDUTO;muito baixa;7247,0
MG;Aimorés;102,0;2899,0;6604,0;32829,91;321,86;202103;False;2021-03-01;0,21070555711366643;Rural;AIMORÉS;muito baixa;25116,0
MG;Expedicionário Alício;48,0;1542,0;3682,0;24305,5;506,36;202103;False;2021-03-01;0,21070555711366643;Rural;ALÍCIO;muito baixa;25116,0
MG;Conceição do Capim;22,0;537,0;1525,0;6954,24;316,1;202103;False;2021-03-01;0,21070555711366643;Rural;CAPIM;muito baixa;25116,0
MG;Penha do Capim;15,0;460,0;903,0;4851,14;323,41;202103;False;2021-03-01;0,21070555711366643;Rural;CAPIM;muito baixa;25116,0
MG;Resplendor;27,0;535,0;1477,0;6532,73;241,95;202103;False;2021-03-01;0,2491076130844403;Rural;RESPLENDOR;muito baixa;17396,0
MG;Itueta;23,0;588,0;1166,0;5877,62;255,55;202103;False;2021-03-01;0,4341337907375643;Rural;ITUETA;muito baixa;6074,0
MG;Quatituba;26,0;457,0;1453,0;8180,43;314,63;202103;False;2021-03-01;0,4341337907375643;Rural;QUATITUBA;muito baixa;6074,0
ES;Baixo Guandu;35,0;771,0;1773,0;8696,56;248,47;202103;False;2021-03-01;0,2258863175269076;Rural;GUANDU;muito baixa;31263,0
MG;Caratinga;7,0;137,0;457,0;2336,74;333,82;202103;False;2021-03-01;0,1732188317554171;Rural;CARATINGA;muito baixa;93124,0
MG;SÃO JOÃO DO JACUTINGA;1,0;44,0;72,0;321,97;321,97;202103;False;2021-03-01;0,1732188317554171;Rural;JACUTINGA;muito baixa;93124,0
MG;SANTO ANTÔNIO DO MANHUAÇU;46,0;1041,0;3183,0;14603,04;317,46;202103;False;2021-03-01;0,1732188317554171;Rural;MANHUAÇU;muito baixa;93124,0
MG;Piedade de Caratinga;3,0;72,0;201,0;1234,65;411,55;202103;False;2021-03-01;0,3527426160337553;Rural;CARATINGA;muito baixa;8832,0
MG;Santa Rita de Minas;2,0;28,0;98,0;334,11;167,06;202103;False;2021-03-01;0,27081105850007636;Rural;MINAS;muito baixa;7322,0
MG;Martins Soares;1,0;57,0;93,0;459,11;459,11;202103;False;2021-03-01;0,5919420047399973;Urbana;SOARES;muito baixa;8640,0
MG;Manhumirim;4,0;54,0;103,0;461,82;115,46;202103;False;2021-03-01;0,2029276961930596;Rural;MANHUMIRIM;muito baixa;22894,0
MG;Inhapim;1,0;3,0;13,0;98,34;98,34;202103;False;2021-03-01;0,42401415987486624;Rural;INHAPIM;muito baixa;24020,0
MG;Mutum;2,0;113,0;165,0;764,47;382,24;202103;False;2021-03-01;0,482765087581111;Rural;MUTUM;muito baixa;26945,0
MG;Ipanema;1671,0;37953,0;72737,0;370431,36;221,68;202104;False;2021-04-01;0,21849201981287836;Rural;IPANEMA;muito alta;20133,0
MG;Pocrane;159,0;3951,0;10706,0;49481,17;311,2;202104;False;2021-04-01;0,3991764967727576;Rural;POCRANE;muito baixa;8288,0
MG;Taparuba;93,0;2929,0;5917,0;31015,67;333,5;202104;False;2021-04-01;0,5521198597386038;Urbana;TAPARUBA;muito baixa;3093,0
MG;Conceição de Ipanema;104,0;3464,0;7148,0;37960,86;365,01;202104;False;2021-04-01;0,658213644524237;Urbana;IPANEMA;muito baixa;4581,0
MG;Santana do Manhuaçu;211,0;6187,0;14180,0;77082,0;365,32;202104;False;2021-04-01;0,5173619202982987;Urbana;MANHUAÇU;muito baixa;8660,0
MG;Simonésia;236,0;6627,0;13526,0;67779,88;287,2;202104;False;2021-04-01;0,6121980544321783;Urbana;SIMONÉSIA;muito baixa;19834,0
MG;Manhuaçu;289,0;7805,0;17376,0;80698,98;279,24;202104;False;2021-04-01;0,1851735491492196;Rural;MANHUAÇU;muito baixa;92074,0
MG;Manhuaçu;5,0;156,0;395,0;1866,35;373,27;202104;False;2021-04-01;0,1851735491492196;Rural;MANHUAÇU;muito baixa;92074,0
MG;São José do Mantimento;104,0;3321,0;7724,0;43242,2;415,79;202104;False;2021-04-01;0,4409722222222222;Rural;MANTIMENTO;muito baixa;2821,0
MG;Reduto;13,0;243,0;1162,0;4695,56;361,2;202104;False;2021-04-01;0,4446643324706957;Rural;REDUTO;muito baixa;7247,0
MG;Aimorés;96,0;2821,0;6387,0;32091,64;334,29;202104;False;2021-04-01;0,21070555711366643;Rural;AIMORÉS;muito baixa;25116,0
MG;Expedicionário Alício;35,0;1193,0;2645,0;15829,89;452,28;202104;False;2021-04-01;0,21070555711366643;Rural;ALÍCIO;muito baixa;25116,0
MG;Conceição do Capim;22,0;527,0;1361,0;7244,28;329,29;202104;False;2021-04-01;0,21070555711366643;Rural;CAPIM;muito baixa;25116,0
MG;Penha do Capim;15,0;497,0;871,0;4949,32;329,95;202104;False;2021-04-01;0,21070555711366643;Rural;CAPIM;muito baixa;25116,0
MG;Resplendor;35,0;868,0;2575,0;9888,83;282,54;202104;False;2021-04-01;0,2491076130844403;Rural;RESPLENDOR;muito baixa;17396,0
MG;Itueta;14,0;435,0;814,0;3211,83;229,42;202104;False;2021-04-01;0,4341337907375643;Rural;ITUETA;muito baixa;6074,0
MG;Quatituba;24,0;643,0;1775,0;9361,08;390,05;202104;False;2021-04-01;0,4341337907375643;Rural;QUATITUBA;muito baixa;6074,0
ES;Baixo Guandu;29,0;650,0;1188,0;6147,9;212,0;202104;False;2021-04-01;0,2258863175269076;Rural;GUANDU;muito baixa;31263,0
MG;Caratinga;5,0;165,0;488,0;1965,2;393,04;202104;False;2021-04-01;0,1732188317554171;Rural;CARATINGA;muito baixa;93124,0
MG;SÃO JOÃO DO JACUTINGA;2,0;60,0;97,0;494,3;247,15;202104;False;2021-04-01;0,1732188317554171;Rural;JACUTINGA;muito baixa;93124,0
MG;SANTO ANTÔNIO DO MANHUAÇU;36,0;817,0;2470,0;11655,78;323,77;202104;False;2021-04-01;0,1732188317554171;Rural;MANHUAÇU;muito baixa;93124,0
MG;Piedade de Caratinga;2,0;87,0;174,0;909,57;454,79;202104;False;2021-04-01;0,3527426160337553;Rural;CARATINGA;muito baixa;8832,0
MG;Santa Rita de Minas;3,0;18,0;95,0;293,81;97,94;202104;False;2021-04-01;0,27081105850007636;Rural;MINAS;muito baixa;7322,0
MG;Martins Soares;1,0;48,0;123,0;475,61;475,61;202104;False;2021-04-01;0,5919420047399973;Urbana;SOARES;muito baixa;8640,0
MG;Manhumirim;3,0;152,0;294,0;1581,34;527,11;202104;False;2021-04-01;0,2029276961930596;Rural;MANHUMIRIM;muito baixa;22894,0
MG;Mutum;1,0;53,0;98,0;443,64;443,64;202104;False;2021-04-01;0,482765087581111;Rural;MUTUM;muito baixa;26945,0
MG;Ipanema;1808,0;41578,0;80087,0;412980,18;228,42;202105;False;2021-05-01;0,21849201981287836;Rural;IPANEMA;muito alta;20133,0
MG;Pocrane;174,0;3876,0;10921,0;52858,88;303,79;202105;False;2021-05-01;0,3991764967727576;Rural;POCRANE;muito baixa;8288,0
MG;Taparuba;93,0;2980,0;6246,0;32808,92;352,78;202105;False;2021-05-01;0,5521198597386038;Urbana;TAPARUBA;muito baixa;3093,0
MG;Conceição de Ipanema;135,0;4165,0;9059,0;49083,58;363,58;202105;False;2021-05-01;0,658213644524237;Urbana;IPANEMA;muito baixa;4581,0
MG;Santana do Manhuaçu;231,0;6694,0;15585,0;80605,92;348,94;202105;False;2021-05-01;0,5173619202982987;Urbana;MANHUAÇU;muito baixa;8660,0
MG;Simonésia;276,0;7862,0;15945,0;79817,19;289,19;202105;False;2021-05-01;0,6121980544321783;Urbana;SIMONÉSIA;muito baixa;19834,0
MG;Manhuaçu;304,0;8053,0;16682,0;84449,83;277,8;202105;False;2021-05-01;0,1851735491492196;Rural;MANHUAÇU;muito baixa;92074,0
MG;Manhuaçu;5,0;61,0;244,0;1338,95;267,79;202105;False;2021-05-01;0,1851735491492196;Rural;MANHUAÇU;muito baixa;92074,0
MG;São José do Mantimento;125,0;3919,0;10039,0;55948,83;447,59;202105;False;2021-05-01;0,4409722222222222;Rural;MANTIMENTO;muito baixa;2821,0
MG;Reduto;15,0;281,0;863,0;4170,44;278,03;202105;False;2021-05-01;0,4446643324706957;Rural;REDUTO;muito baixa;7247,0
MG;Aimorés;92,0;2755,0;6359,0;31435,29;341,69;202105;False;2021-05-01;0,21070555711366643;Rural;AIMORÉS;muito baixa;25116,0
MG;Expedicionário Alício;35,0;1007,0;2406,0;14388,5;411,1;202105;False;2021-05-01;0,21070555711366643;Rural;ALÍCIO;muito baixa;25116,0
MG;Conceição do Capim;31,0;732,0;1848,0;10274,93;331,45;202105;False;2021-05-01;0,21070555711366643;Rural;CAPIM;muito baixa;25116,0
MG;Penha do Capim;12,0;307,0;599,0;3415,06;284,59;202105;False;2021-05-01;0,21070555711366643;Rural;CAPIM;muito baixa;25116,0
MG;Resplendor;34,0;687,0;2120,0;8925,03;262,5;202105;False;2021-05-01;0,2491076130844403;Rural;RESPLENDOR;muito baixa;17396,0
MG;Itueta;13,0;319,0;557,0;2626,84;202,06;202105;False;2021-05-01;0,4341337907375643;Rural;ITUETA;muito baixa;6074,0
MG;Quatituba;29,0;637,0;1803,0;9298,2;320,63;202105;False;2021-05-01;0,4341337907375643;Rural;QUATITUBA;muito baixa;6074,0
ES;Baixo Guandu;45,0;706,0;1781,0;8671,49;192,7;202105;False;2021-05-01;0,2258863175269076;Rural;GUANDU;muito baixa;31263,0
MG;Caratinga;8,0;93,0;556,0;2302,44;287,81;202105;False;2021-05-01;0,1732188317554171;Rural;CARATINGA;muito baixa;93124,0
MG;SÃO JOÃO DO JACUTINGA;1,0;30,0;61,0;324,05;324,05;202105;False;2021-05-01;0,1732188317554171;Rural;JACUTINGA;muito baixa;93124,0
MG;SANTO ANTÔNIO DO MANHUAÇU;47,0;1011,0;3007,0;13771,27;293,01;202105;False;2021-05-01;0,1732188317554171;Rural;MANHUAÇU;muito baixa;93124,0
MG;Piedade de Caratinga;4,0;38,0;140,0;547,56;136,89;202105;False;2021-05-01;0,3527426160337553;Rural;CARATINGA;muito baixa;8832,0
MG;Santa Rita de Minas;3,0;29,0;108,0;324,68;108,23;202105;False;2021-05-01;0,27081105850007636;Rural;MINAS;muito baixa;7322,0
MG;Manhumirim;2,0;108,0;180,0;1284,28;642,14;202105;False;2021-05-01;0,2029276961930596;Rural;MANHUMIRIM;muito baixa;22894,0
MG;Inhapim;4,0;140,0;516,0;1862,48;465,62;202105;False;2021-05-01;0,42401415987486624;Rural;INHAPIM;muito baixa;24020,0
MG;Mutum;1,0;27,0;49,0;221,56;221,56;202105;False;2021-05-01;0,482765087581111;Rural;MUTUM;muito baixa;26945,0
MG;Ipanema;1939,0;42540,0;81926,0;429484,69;221,5;202106;False;2021-06-01;0,21849201981287836;Rural;IPANEMA;muito alta;20133,0
MG;Pocrane;172,0;4009,0;11772,0;54772,22;318,44;202106;False;2021-06-01;0,3991764967727576;Rural;POCRANE;muito baixa;8288,0
MG;Taparuba;107,0;3012,0;6176,0;34001,99;317,78;202106;False;2021-06-01;0,5521198597386038;Urbana;TAPARUBA;muito baixa;3093,0
MG;Conceição de Ipanema;118,0;3459,0;8149,0;44592,34;377,9;202106;False;2021-06-01;0,658213644524237;Urbana;IPANEMA;muito baixa;4581,0
MG;Santana do Manhuaçu;225,0;6725,0;14929,0;79170,19;351,87;202106;False;2021-06-01;0,5173619202982987;Urbana;MANHUAÇU;muito baixa;8660,0
MG;Simonésia;289,0;8129,0;16822,0;90721,75;313,92;202106;False;2021-06-01;0,6121980544321783;Urbana;SIMONÉSIA;muito baixa;19834,0
MG;Manhuaçu;297,0;7834,0;17130,0;88006,9;296,32;202106;False;2021-06-01;0,1851735491492196;Rural;MANHUAÇU;muito baixa;92074,0
MG;Manhuaçu;8,0;169,0;510,0;2544,19;318,02;202106;False;2021-06-01;0,1851735491492196;Rural;MANHUAÇU;muito baixa;92074,0
MG;São José do Mantimento;123,0;4087,0;9458,0;55959,5;454,96;202106;False;2021-06-01;0,4409722222222222;Rural;MANTIMENTO;muito baixa;2821,0
MG;Reduto;15,0;287,0;1224,0;5108,26;340,55;202106;False;2021-06-01;0,4446643324706957;Rural;REDUTO;muito baixa;7247,0
MG;Aimorés;115,0;3097,0;6897,0;37905,73;329,62;202106;False;2021-06-01;0,21070555711366643;Rural;AIMORÉS;muito baixa;25116,0
MG;Expedicionário Alício;38,0;1155,0;3080,0;20064,01;528,0;202106;False;2021-06-01;0,21070555711366643;Rural;ALÍCIO;muito baixa;25116,0
MG;Conceição do Capim;28,0;633,0;1309,0;8562,75;305,81;202106;False;2021-06-01;0,21070555711366643;Rural;CAPIM;muito baixa;25116,0
MG;Penha do Capim;12,0;404,0;807,0;4327,91;360,66;202106;False;2021-06-01;0,21070555711366643;Rural;CAPIM;muito baixa;25116,0
MG;Resplendor;55,0;1220,0;3357,0;14748,23;268,15;202106;False;2021-06-01;0,2491076130844403;Rural;RESPLENDOR;muito baixa;17396,0
MG;Itueta;14,0;271,0;600,0;2957,58;211,26;202106;False;2021-06-01;0,4341337907375643;Rural;ITUETA;muito baixa;6074,0
MG;Quatituba;21,0;500,0;1795,0;9342,33;444,87;202106;False;2021-06-01;0,4341337907375643;Rural;QUATITUBA;muito baixa;6074,0
